ดอนข่อย(คงสมโอษฐ์ราษฏร์บำรุง),ต.โคกม่วง อ.ภาชี จ.พระนครศรีอยุธยา 13140,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
ดอนตูมดอนโด,ต.แก่งเลิงจาน อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดงเค็งดอนหัน,ต.ท่าสองคอน อ.เมืองมหาสารคาม จ.มหาสารคาม 44000,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนก่อกกเหลี่ยม,ต.วังแสง อ.แกดำ จ.มหาสารคาม 44190,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนกลอยหนองยาง,ต.หัวขวาง อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนจำปาดอนสวรรค์,ต.โพนงาม อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนสันติ,ต.แห่ใต้ อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนกลางนุกูลวิทย์,ต.ดอนกลาง อ.โกสุมพิสัย จ.มหาสารคาม 44140,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนดู่,ต.คันธารราษฎร์ อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนเวียงจันทน์,ต.ท่าขอนยาง อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนนา,ต.ขามเรียง อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนหน่อง,ต.ขามเรียง อ.กันทรวิชัย จ.มหาสารคาม 44150,เขตพื้นที่การศึกษามหาสารคาม เขต 1
ดอนก่อ,ต.วังไชย อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงมัน,ต.หนองม่วง อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนพยอม,ต.โนนแดง อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนบม,ต.หนองจิก อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนงัว,ต.ดอนงัว อ.บรบือ จ.มหาสารคาม 44130,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงม่วงหัวดงหนองบาก,ต.สำโรง อ.นาเชือก จ.มหาสารคาม 44170,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดง,ต.ปะหลาน อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนหมี,ต.เวียงสะอาด อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงหัวช้าง,ต.หนองบัว อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงเย็น,ต.ราษฎร์เจริญ อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงบากหนองตาเต็น,ต.ภารแอ่น อ.พยัคฆภูมิพิสัย จ.มหาสารคาม 44110,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงน้อย,ต.เสือโก้ก อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงใหญ่,ต.ดงใหญ่ อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนหัน,ต.ดงใหญ่ อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดู่,ต.แคน อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนแดงน้ำเกลี้ยง,ต.นาข่า อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดู่หนองโก,ต.หนองแสน อ.วาปีปทุม จ.มหาสารคาม 44120,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดอนดู่วังบอน,ต.หัวดง อ.นาดูน จ.มหาสารคาม 44180,เขตพื้นที่การศึกษามหาสารคาม เขต 2
ดงยาง,ต.ดงยาง อ.นาดูน จ.มหาสารคาม 44180,เขตพื้นที่การศึกษามหาสารคาม เขต 2
