สร้าง (สำริต ภู่เงิน อนุสรณ์),ต.บ่อตาโล่ อ.วังน้อย จ.พระนครศรีอยุธยา 13170,เขตพื้นที่การศึกษาพระนครศรีอยุธยา เขต 1
สันป่าถ่อน,ต.แม่ใส อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันบัวบก,ต.บ้านสาง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันเวียงใหม่,ต.บ้านสาง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สาง,ต.บ้านสาง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันป่าม่วง,ต.สันป่าม่วง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันปูเลย,ต.สันป่าม่วง อ.เมืองพะเยา จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สร้อยศรี,ต.จุน อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
สักทุ่ง,ต.หงส์หิน อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
สักลอ,ต.หงส์หิน อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
สันหลวง,ต.ทุ่งรวงทอง อ.จุน จ.พะเยา 56150,เขตพื้นที่การศึกษาพะเยา เขต 2
สบสา,ต.ร่มเย็น อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สบทุ(คีรีราษฎร์สงเคราะห์,ต.แม่ลาว อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สันปูเลย,ต.อ่างทอง อ.เชียงคำ จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สระ,ต.สระ อ.เชียงม่วน จ.พะเยา 56160,เขตพื้นที่การศึกษาพะเยา เขต 2
สันจกปก,ต.ดอกคำใต้ อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
สันป่าหนาด,ต.ดอกคำใต้ อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
สันโค้ง,ต.สันโค้ง อ.ดอกคำใต้ จ.พะเยา 56120,เขตพื้นที่การศึกษาพะเยา เขต 1
สีพรม,ต.ควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
สันกลางนาดอ,ต.งิม อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
สันกลางนาดอสาขาบ้านตุ่นราษฎร์อุทิศ,ต.งิม อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
สบขาม,ต.ขุนควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
สันติสุข,ต.ขุนควร อ.ปง จ.พะเยา 56140,เขตพื้นที่การศึกษาพะเยา เขต 2
สันขวาง,ต.ศรีถ้อย อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
สันต้นม่วง,ต.เจริญราษฎร์ อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
สันต้นม่วงสาขาบ้านสันสลี,ต.เจริญราษฎร์ อ.แม่ใจ จ.พะเยา 56130,เขตพื้นที่การศึกษาพะเยา เขต 1
สถาน,ต.ภูซาง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สา,ต.ทุ่งกล้วย อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สบบง,ต.สบบง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สะแล่ง,ต.เชียงแรง อ.ภูซาง จ.พะเยา 56110,เขตพื้นที่การศึกษาพะเยา เขต 2
สันต้นแหน,ต.ห้วยแก้ว อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันต้นผึ้ง,ต.แม่อิง อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันป่างิ้ว,ต.แม่อิง อ.ภูกามยาว จ.พะเยา 56000,เขตพื้นที่การศึกษาพะเยา เขต 1
สันโค้ง(เชียงรายจรูญราษฎร์),ต.เวียง อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
สันโค้ง(เชียงรายจรูญราษฎร์)สาขาบ้านสหมิตรพัฒนา,ต.รอบเวียง อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
สันต้นขาม,ต.นางแล อ.เมืองเชียงราย จ.เชียงราย 57100,เขตพื้นที่การศึกษาเชียงราย เขต 1
สันกลาง,ต.ป่าอ้อดอนชัย อ.เมืองเชียงราย จ.เชียงราย 57000,เขตพื้นที่การศึกษาเชียงราย เขต 1
